-1.000000000000000000e+00,-1.500000000000000000e+00,2.000000000000000000e+00,-1.000000000000000000e+00,-1.500000000000000000e+00,5.000000000000000000e-01
-3.648118099721896268e+00,-3.281897446551129249e+00,2.336166798518588550e+00,-2.005206393209290727e+00,-2.591794977312212644e+00,3.821122869537114664e-01
2.656941397852362829e+00,-1.153231915900536642e+00,2.063855604801627663e+00,9.484080108465486880e-01,-6.122744902012303925e+00,5.022975906507922694e+00
2.260482831516750224e+00,-1.015118044976213163e-01,2.759798055509713244e+00,3.081317397867080921e+00,-6.525458856312833511e+00,-1.028744880905748893e+00
2.713623948336706615e+00,-3.679719323478060300e+00,2.781988578168638426e+00,7.548637325975943391e+00,-6.653983819950087586e+00,-1.910095785392202705e+00
3.324227298196333003e+00,-5.936694939504336688e-01,4.375711301176631096e+00,3.020123427512674041e+00,-6.115616750735469509e+00,-2.130807923117400637e+00
4.550268684628670712e+01,-1.911559489186065974e+01,1.963455562975655511e+01,-1.179317333607903748e+02,3.049830188507272766e+01,1.238820540275406614e+02
4.639625349307510760e+01,-2.000104235650968576e+01,2.015922918269183484e+01,-1.193641094609705533e+02,2.990096397194775335e+01,1.238636675207469864e+02
4.656925531527641482e+01,-2.011103070803653381e+01,2.085040972408733495e+01,-1.200142839313677712e+02,3.087039448179043433e+01,1.239764858773384475e+02
4.656919967660984128e+01,-1.985643001143832365e+01,2.060122112006074246e+01,-1.201269191137905352e+02,3.086447456902912734e+01,1.240945064216565470e+02
4.656847210466066400e+01,-1.986715969120509584e+01,2.057700024237808734e+01,-1.200903503242305277e+02,3.086050951359277050e+01,1.240928984177524796e+02
4.656848616702905730e+01,-1.986659173612084928e+01,2.057647809007885797e+01,-1.200904071901328081e+02,3.086052289911333801e+01,1.240929098165151032e+02
